ds,yhat,company,model
1998-03-05,-12.14757857251715,Amazon,Prophet
1998-03-06,-15.022965285211841,Amazon,Prophet
1998-03-09,-16.536297371244256,Amazon,Prophet
1998-03-10,-15.079551192337753,Amazon,Prophet
1998-03-11,-14.833425394322088,Amazon,Prophet
1998-03-12,-15.690316926885057,Amazon,Prophet
1998-03-13,-18.172370233610316,Amazon,Prophet
1998-03-16,-18.474733614199238,Amazon,Prophet
1998-03-17,-16.609095976894732,Amazon,Prophet
1998-03-18,-15.952334091400129,Amazon,Prophet
1998-03-19,-16.396406863723975,Amazon,Prophet
1998-03-20,-18.462452394807794,Amazon,Prophet
1998-03-23,-17.480946967815175,Amazon,Prophet
1998-03-24,-15.168416686834298,Amazon,Prophet
1998-03-25,-14.051557051688512,Amazon,Prophet
1998-03-26,-14.020244076966431,Amazon,Prophet
1998-03-27,-15.593848988200762,Amazon,Prophet
1998-03-30,-13.022774776873685,Amazon,Prophet
1998-03-31,-10.143148650031488,Amazon,Prophet
1998-04-01,-8.442772416879755,Amazon,Prophet
1998-04-02,-7.8142685462209265,Amazon,Prophet
1998-04-03,-8.780764108893504,Amazon,Prophet
1998-04-06,-4.381379605922614,Amazon,Prophet
1998-04-07,-0.9121382238337432,Amazon,Prophet
1998-04-08,1.3548692450991098,Amazon,Prophet
1998-04-09,2.5182523464625,Amazon,Prophet
1998-04-13,7.588596242679499,Amazon,Prophet
1998-04-14,11.29619961497705,Amazon,Prophet
1998-04-15,13.716494400819883,Amazon,Prophet
1998-04-16,14.941151649549003,Amazon,Prophet
1998-04-17,14.432102758706066,Amazon,Prophet
1998-04-20,19.241808210495115,Amazon,Prophet
1998-04-21,22.49304155677947,Amazon,Prophet
1998-04-22,24.353356210211395,Amazon,Prophet
1998-04-23,24.91864742247229,Amazon,Prophet
1998-04-24,23.656943717092197,Amazon,Prophet
1998-04-27,25.736673720801605,Amazon,Prophet
1998-04-28,27.9578950731459,Amazon,Prophet
1998-04-29,28.750278626493323,Amazon,Prophet
1998-04-30,28.224570490084425,Amazon,Prophet
1998-05-01,25.864349092046474,Amazon,Prophet
1998-05-04,24.763172416398326,Amazon,Prophet
1998-05-05,26.014796761690906,Amazon,Prophet
1998-05-06,25.9076986300349,Amazon,Prophet
1998-05-07,24.56595203493673,Amazon,Prophet
1998-05-08,21.485047338502785,Amazon,Prophet
1998-05-11,18.886838789361903,Amazon,Prophet
1998-05-12,19.882019412686077,Amazon,Prophet
1998-05-13,19.64471071166278,Amazon,Prophet
1998-05-14,18.298512040952744,Amazon,Prophet
1998-05-15,15.336138668419434,Amazon,Prophet
1998-05-18,13.770876728551448,Amazon,Prophet
1998-05-19,15.3060641299706,Amazon,Prophet
1998-05-20,15.687324125912198,Amazon,Prophet
1998-05-21,15.024682242493274,Amazon,Prophet
1998-05-22,12.796361531605726,Amazon,Prophet
1998-05-26,15.904139195469362,Amazon,Prophet
1998-05-27,17.04586758121827,Amazon,Prophet
1998-05-28,17.106773569003035,Amazon,Prophet
1998-05-29,15.553501914962208,Amazon,Prophet
1998-06-01,17.98549711740074,Amazon,Prophet
1998-06-02,20.705632585365883,Amazon,Prophet
1998-06-03,22.169251298036183,Amazon,Prophet
1998-06-04,22.473767206844435,Amazon,Prophet
1998-06-05,21.08830068737485,Amazon,Prophet
1998-06-08,23.62339387969452,Amazon,Prophet
1998-06-09,26.271293641833367,Amazon,Prophet
1998-06-10,27.626300063883143,Amazon,Prophet
1998-06-11,27.797487305939082,Amazon,Prophet
1998-06-12,26.266190354103053,Amazon,Prophet
1998-06-15,28.41197927162599,Amazon,Prophet
1998-06-16,30.985152072671333,Amazon,Prophet
1998-06-17,32.310222715325295,Amazon,Prophet
1998-06-18,32.50464756673426,Amazon,Prophet
1998-06-19,31.05644738052135,Amazon,Prophet
1998-06-22,33.84787440662813,Amazon,Prophet
1998-06-23,36.76993795011188,Amazon,Prophet
1998-06-24,38.505879235543716,Amazon,Prophet
1998-06-25,39.1668796833499,Amazon,Prophet
1998-06-26,38.23256811744027,Amazon,Prophet
1998-06-29,42.73760526302664,Amazon,Prophet
1998-06-30,46.24323763976021,Amazon,Prophet
1998-07-01,48.54368120041989,Amazon,Prophet
1998-07-02,49.734022110822295,Amazon,Prophet
1998-07-06,54.75298405181399,Amazon,Prophet
1998-07-07,58.38052477215339,Amazon,Prophet
1998-07-08,60.682343236993134,Amazon,Prophet
1998-07-09,61.74456403369555,Amazon,Prophet
1998-07-10,61.023974750455274,Amazon,Prophet
1998-07-13,64.86232749758423,Amazon,Prophet
1998-07-14,67.66755579993361,Amazon,Prophet
1998-07-15,69.01817882352191,Amazon,Prophet
1998-07-16,69.01015997816154,Amazon,Prophet
1998-07-17,67.11273700701027,Amazon,Prophet
1998-07-20,66.9401450158286,Amazon,Prophet
1998-07-21,68.31082731631886,Amazon,Prophet
1998-07-22,68.21298296916714,Amazon,Prophet
1998-07-23,66.76481487968712,Amazon,Prophet
1998-07-24,63.458091425761246,Amazon,Prophet
1998-07-27,59.46314178634337,Amazon,Prophet
1998-07-28,59.76371695502375,Amazon,Prophet
1998-07-29,58.72841778961673,Amazon,Prophet
1998-07-30,56.490783978513,Amazon,Prophet
1998-07-31,52.55543026504143,Amazon,Prophet
1998-08-03,47.72554552164729,Amazon,Prophet
1998-08-04,48.11140508324235,Amazon,Prophet
1998-08-05,47.34182694046938,Amazon,Prophet
1998-08-06,45.544721199490496,Amazon,Prophet
1998-08-07,42.21597417671704,Amazon,Prophet
1998-08-10,40.07237371096883,Amazon,Prophet
1998-08-11,41.58666922075585,Amazon,Prophet
